J,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
0.1,1.5791556950972563e-10,2.4980018054066022e-15,1.9984014443252818e-15,3.219646771412954e-15
0.3518987341772152,2.4213209992574036e-08,3.8613556796462944e-13,6.861178292183467e-14,2.5424107263916085e-14
0.6037974683544303,2.098274228812258e-07,3.3502645102601036e-12,5.739297925799747e-13,1.9279022822615843e-13
0.8556962025316454,8.461496435741012e-07,1.3483492100618832e-11,2.3062662890538377e-12,7.652212197228891e-13
1.1075949367088607,2.37420535253996e-06,3.7838177036064735e-11,6.4648286723922865e-12,2.140565502628533e-12
1.3594936708860759,5.386261234141543e-06,8.583045385535115e-11,1.4665546554937237e-11,4.86033435720401e-12
1.6113924050632908,1.0624881918830376e-05,1.693948314951399e-10,2.892663886200353e-11,9.58733092915054e-12
1.8632911392405063,1.8981801202744286e-05,3.026191519595045e-10,5.170258665643246e-11,1.7151835507434043e-11
2.1151898734177212,3.149659780532499e-05,5.023566562734061e-10,8.585304689390227e-11,2.8490931835989386e-11
2.367088607594936,4.9355060379396853e-05,7.873890428555796e-10,1.346183720052352e-10,4.468120318179558e-11
2.6189873417721516,7.388741530867105e-05,1.1790855514171028e-09,2.0187707061580795e-10,6.700562327210946e-11
2.8708860759493664,0.00010656630320537985,1.7010864383770752e-09,2.9150365454810867e-10,9.686490498594935e-11
3.1227848101265816,0.00014900442041643203,2.3793034764629795e-09,4.0787329069758016e-10,1.3571704871040424e-10
3.374683544303797,0.0002029521951532054,3.242438317840879e-09,5.564860794393667e-10,1.852016873193918e-10
3.6265822784810124,0.0002702949740615024,4.320564184201459e-09,7.420304926064603e-10,2.4708968204834036e-10
3.8784810126582276,0.0003530502898060339,5.646235201606231e-09,9.70999891602986e-10,3.2366698210495315e-10
4.130379746835442,0.0004533645572309952,7.255641365500054e-09,1.2490735112891116e-09,4.166488265511248e-10
4.382278481012657,0.000573509891241053,9.1870968610408e-09,1.583231490354109e-09,5.288819937554479e-10
4.634177215189872,0.0007158805706197757,1.1475758676660064e-08,1.9801922324091947e-09,6.625620607714211e-10
4.886075949367087,0.0008829893360277064,1.4167506001694363e-08,2.447817559758647e-09,8.194502298941586e-10
