t,idle_infid_CD,idle_infid_DD
20.625,0.0011825964362930375,9.959501802392356e-05
40.625,0.004199326874433251,0.00011002931212944489
60.625,0.009134589899430057,0.00012812365928427383
80.625,0.015969288191575726,0.0001541932846712557
100.625,0.02467697442441763,0.00018732060301895892
120.625,0.0352239523072545,0.000225993234577615
140.625,0.04756941194218023,0.0002699141052169285
160.625,0.061665580902201644,0.00032654622647043663
180.625,0.07745791337565555,0.0003830303755952835
200.625,0.0948852986234281,0.00044943121692175847
220.625,0.11388030117703285,0.0005345716827908076
240.625,0.13436942157113219,0.0006061870654235912
260.625,0.15627330137092865,0.0007005171834734147
280.625,0.17950724480658886,0.0007952847834358234
300.625,0.20398134755340036,0.0008971314954525633
320.625,0.22960085395663654,0.001013757508014912
340.625,0.25626671668434053,0.0011369926444722012
360.625,0.2838757106447958,0.001253934232013476
380.625,0.31232121370351074,0.0013928843066821628
400.625,0.3414913844158739,0.0015294304745949727
