t,idle_infid_CD,idle_infid_DD
20.625,0.016431182935969124,0.0004453365246752661
40.625,0.05977434077538957,0.000628146122043205
60.625,0.12668572790517552,0.0009349821979717232
80.625,0.21151178998986175,0.0013633745457755087
100.625,0.30729215016598455,0.0019176760750314603
120.625,0.4065128084712394,0.002594073305266842
140.625,0.5019050710735948,0.003388002465026241
160.625,0.5871955223008054,0.004305815967746596
180.625,0.6577210784782851,0.005346839414481552
200.625,0.7108391049169285,0.006508027022427365
220.625,0.7460880665088365,0.0077897416036376566
240.625,0.7650867535163992,0.009193933821600386
260.625,0.7711897627590614,0.010716396353424473
280.625,0.7689482944256822,0.012352539463930556
300.625,0.7634474213196867,0.014114698992164443
320.625,0.7596052600894373,0.015985646645323315
340.625,0.7615221935181419,0.018011918303151964
360.625,0.7719612670728888,0.02010844484796681
380.625,0.7920216075152735,0.022334466526864216
400.625,0.8210421458573797,0.024692241916973723
