gamma,2nd_X1_error_N_4,2nd_X1_error_N_6,2nd_X1_error_N_8
0.015915494309189534,0.24083816378813744,0.24084776007725658,0.2408511200420625
0.03183098861837907,0.24078635026984593,0.24082473088337075,0.24083817527133727
0.04774648292756861,0.24070001080406817,0.24078635221305383,0.24081659975023495
0.06366197723675814,0.24057917011724017,0.2407326285586404,0.24078639605944463
0.07957747154594767,0.24042386274755143,0.24066356676752929,0.24074756550774495
0.09549296585513722,0.24023413239754354,0.24057917540859886,0.24070011185591095
0.11140846016432675,0.2400100343208149,0.2404794652687311,0.24064403834840853
0.12732395447351627,0.2397516315165717,0.24036444824360015,0.2405793485895388
0.1432394487827058,0.23945899791882158,0.24023413919078276,0.24050604720507524
0.15915494309189535,0.2391322167943001,0.24008855427251002,0.24042413924867717
0.17507043740108488,0.2387713811687449,0.2399277124396972,0.24033363035375363
0.19098593171027445,0.23837659401810063,0.23975163102078711,0.24023452685753358
0.20690142601946396,0.23794796758795875,0.23956033459924614,0.24012683803493876
0.2228169203286535,0.237485623276134,0.23935384622139266,0.24001056618302122
0.238732414637843,0.23698969271152195,0.23913219161097304,0.23988572185245158
0.25464790894703254,0.23646031656154334,0.23889539771068058,0.23975231562201488
0.27056340325622213,0.23589764510008032,0.23864349528384812,0.2396103551128253
0.2864788975654116,0.23530183727781473,0.2383765146165849,0.23945985082118906
0.30239439187460115,0.2346730620282338,0.2380944891460334,0.23930081309163567
0.3183098861837907,0.23401149566878088,0.237797453767349,0.23913325264939744
0.33422538049298023,0.23331732923681672,0.23748544581104586,0.23895718129635005
0.35014087480216977,0.2325907541702823,0.23715850386795054,0.23877261124821675
0.3660563691113593,0.23183197665989674,0.23681666847935418,0.2385795557820105
0.3819718634205489,0.2310412106420238,0.23645998142712968,0.23837802792617452
0.3978873577297384,0.2302186778046793,0.23608848747618233,0.2381680418208682
0.4138028520389279,0.22936460909953946,0.23570223268620083,0.23794961197321746
0.42971834634811745,0.22847924304387493,0.23530126451018168,0.23772275372510554
0.445633840657307,0.22756282984534648,0.23488563287442069,0.23748748258873106
0.4615493349664965,0.22661562078045494,0.23445538911268227,0.2372438149306231
0.477464829275686,0.22563788783896377,0.23401058621223617,0.23699176813080913
0.4933803235848756,0.22462989656238996,0.23355127908278406,0.23673135910589918
0.5092958178940651,0.22359192863525448,0.23307752412762534,0.23646260624506293
0.5252113122032547,0.22252427287569038,0.2325893806052388,0.23618552823113087
0.5411268065124443,0.22142722465024842,0.23208690770876728,0.23590014395059994
0.5570423008216338,0.22030108734487902,0.23157016759079949,0.23560647315751015
0.5729577951308232,0.21914617166644107,0.23103922223867138,0.23530453722915226
0.5888732894400128,0.21796279546507427,0.2304941411033284,0.23499435559438936
0.6047887837492023,0.21675128397739082,0.2299349869928593,0.23467595041237763
0.6207042780583919,0.2155119693777464,0.22936182979394237,0.23434934392066986
0.6366197723675814,0.21424519049090454,0.22877473960688102,0.23401455820399705
0.652535266676771,0.21295129340069005,0.22817378825101842,0.23367161664475836
0.6684507609859605,0.2116306302160797,0.2275590491226036,0.23332054359165275
0.6843662552951499,0.210283559402464,0.22693059772268434,0.23296136083914065
0.7002817496043395,0.20891044689782626,0.22628851002842146,0.23259409572074782
0.716197243913529,0.2075116629946786,0.22563286502927665,0.23221877272172353
0.7321127382227186,0.20608758527611928,0.22496374114937256,0.2318354176475953
0.7480282325319081,0.20463859611815513,0.22428122117718946,0.2314440568752829
0.7639437268410978,0.20316507623487534,0.22358538837737363,0.2310447172082397
0.7798592211502873,0.20166744455960695,0.2228763241374561,0.230637426465239
0.7957747154594768,0.20014607550149516,0.22215411723885206,0.23022221324694805
0.8116902097686663,0.19860138173518904,0.22141885420286173,0.22979910418629426
0.8276057040778558,0.1970337728507296,0.2206706236937319,0.22936812810126797
0.8435211983870454,0.19544366319217743,0.21990951611725795,0.22892931773410127
0.8594366926962349,0.19383147174399992,0.2191356229561887,0.22848269952004374
0.8753521870054244,0.19219762185578868,0.21834903763375554,0.22802830532341173
