t,X1X2_infid_CD,X1X2_infid_DD
20.625,0.022487325596707408,0.0014634623598887009
60.625,0.06322060517661532,0.007520560360742223
100.625,0.14007312038774267,0.019957876936608332
140.625,0.24680215699682018,0.038624208081599054
180.625,0.37474501316004527,0.06326578892053114
220.625,0.513506121643629,0.0935777090230071
260.625,0.6518126339555177,0.12915668350609955
300.625,0.7784039312867485,0.16952424195955584
340.625,0.8829074452320008,0.21419667966164746
380.625,0.9563153577916715,0.2626362256353232
420.625,0.988672607124297,0.31405387217653413
