J,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
0.1,2.5266074787921866e-09,4.246603069191224e-14,9.825473767932635e-15,1.1601830607332886e-14
0.3518987341772152,3.872710379049238e-07,6.175171485267583e-12,1.0867418076543345e-12,3.6914915568786455e-13
0.6037974683544303,3.3535915988647247e-06,5.346884046630862e-11,9.17077525031118e-12,3.06721315013192e-12
0.8556962025316454,1.3508771719794588e-05,2.1543905548426778e-10,3.685995952906751e-11,1.2253587033939084e-11
1.1075949367088607,3.784812057539e-05,6.039794220313865e-10,1.0336809186384244e-10,3.4372060753184996e-11
1.3594936708860759,8.570418706088656e-05,1.3679740673566698e-09,2.3447077612814837e-10,7.797379408813754e-11
1.6113924050632908,0.00016867947996979105,2.695726586399161e-09,4.628966654429689e-10,1.542511118834966e-10
1.8632911392405063,0.00030056145265489054,4.809105225156429e-09,8.278295826613657e-10,2.763388406989975e-10
2.1151898734177212,0.0004972249432022569,7.971564741637849e-09,1.3756341066262223e-09,4.6022019528635383e-10
2.367088607594936,0.0007765119824882927,1.2474530519668292e-08,2.1583048126494475e-09,7.240916755080207e-10
2.6189873417721516,0.001158104744411581,1.865959120550542e-08,3.2370273128634608e-09,1.0887256651770372e-09
2.8708860759493664,0.0016633833810897336,2.6895370652813e-08,4.679872378510197e-09,1.5777061324051544e-09
3.1227848101265816,0.0023152646777662156,3.759480926568415e-08,6.558710685666824e-09,2.217729500042509e-09
3.374683544303797,0.003138036189447524,5.1215356067224604e-08,8.961203668000906e-09,3.0405695183866044e-09
3.6265822784810124,0.004157173575488504,6.826559162398382e-08,1.197844623490596e-08,4.074738657600108e-09
3.8784810126582276,0.005399160117458779,8.93137837021385e-08,1.5708414069504073e-08,5.361831756367508e-09
4.130379746835442,0.006891272196942078,1.1498863322634278e-07,2.02634116708289e-08,6.94050306115912e-09
4.382278481012657,0.008661395909694836,1.46006386037012e-07,2.576146346244812e-08,8.855922772887936e-09
4.634177215189872,0.01073780137746172,1.8316096034309837e-07,3.235943391022289e-08,1.1156095547359968e-08
4.886075949367087,0.013148927374041719,2.273492687443479e-07,4.018774807379444e-08,1.3895115558160143e-08
5.137974683544303,0.015923173654602385,2.79630423982713e-07,4.939741443665824e-08,1.7133638507971227e-08
5.3898734177215175,0.019088682033285398,3.411953603538187e-07,6.02086644985178e-08,2.09390630945272e-08
5.641772151898734,0.022673089166975413,4.134219089846347e-07,7.278450586678531e-08,2.5384005231110507e-08
5.893670886075948,0.026703342684104237,4.978889594497993e-07,8.73772655340943e-08,3.053888020243534e-08
6.145569620253163,0.031205472266880085,5.965652522532672e-07,1.0426314772660206e-07,3.650788377163039e-08
6.397468354430378,0.03620436622592649,7.114547688202855e-07,1.236627339418206e-07,4.337089759554047e-08
6.649367088607592,0.04172358627027861,8.451375888562929e-07,1.4597123204618256e-07,5.122529972423351e-08
6.90126582278481,0.047785136291005226,1.0005537754431693e-06,1.7147989211929726e-07,6.021112308740584e-08
7.1531645569620235,0.054409283305842826,1.1811736809197448e-06,2.006170030099952e-07,7.046461969473228e-08
7.40506329113924,0.06161443894585383,1.3906806616281742e-06,2.3385092834393717e-07,8.210430835209337e-08
7.656962025316454,0.06941688874592988,1.6343020883269332e-06,2.716071669239817e-07,9.527116301422112e-08
7.908860759493669,0.07783060227539884,1.916468726714804e-06,3.14558042391333e-07,1.1017547923986015e-07
8.160759493670884,0.08686726764361552,2.2436645246148856e-06,3.63272352976729e-07,1.2696715573357054e-07
8.4126582278481,0.09653598312314071,2.622955048214859e-06,4.185088528507741e-07,1.4588833424644676e-07
8.664556962025314,0.10684320092717503,3.0624458792760656e-06,4.810286124978802e-07,1.6719175144341847e-07
8.91645569620253,0.11779262112647848,3.5703956505761525e-06,5.518142846550056e-07,1.9099879527972874e-07
9.168354430379745,0.1293851478118605,4.158372926110765e-06,6.317773681430161e-07,2.1774441150146373e-07
9.42025316455696,0.14161869429150287,4.837970528193125e-06,7.221329402784527e-07,2.4762659595056746e-07
9.672151898734175,0.15448827566978607,5.622398578042365e-06,8.241101421280206e-07,2.8098737192561174e-07
9.92405063291139,0.16798587351906713,6.52692715169545e-06,9.391739966835289e-07,3.1819209905803447e-07
10.175949367088606,0.18210045908307948,7.568438902649799e-06,1.068796470826694e-06,3.59735304933384e-07
10.42784810126582,0.1968179892794074,8.76593310389362e-06,1.214847419606091e-06,4.0592477879020095e-07
10.679746835443035,0.21212140645260247,1.0141520465467568e-05,1.3792498771980632e-06,4.5729195807808765e-07
10.931645569620251,0.227990706387033,1.1718198346832853e-05,1.5639484199914122e-06,5.14315526389808e-07
11.183544303797467,0.24440297392947852,1.3522194740933635e-05,1.7715012385899342e-06,5.775461175971941e-07
11.435443037974682,0.2613324837125033,1.558424047165552e-05,2.0046712527199695e-06,6.477772295787609e-07
11.687341772151896,0.2787506816277574,1.7935863194040724e-05,2.266146853946438e-06,7.254221506269865e-07
11.939240506329112,0.2966265284726012,2.06136697014081e-05,2.5591248893341856e-06,8.114488820876176e-07
12.191139240506326,0.3149263522255573,2.3657310296354428e-05,2.8871604598190714e-06,9.065109437544905e-07
12.443037974683541,0.3336142103099349,2.7110676083796914e-05,3.2541469001112766e-06,1.0115683095057726e-06
12.694936708860757,0.3526515798670491,3.1020843887175076e-05,3.6642962305544202e-06,1.1273369266429079e-06
12.946835443037974,0.37199864480283484,3.544061290400302e-05,4.12209868411173e-06,1.2550913474629333e-06
13.198734177215188,0.39161312041409047,4.04278435880423e-05,4.632645343671804e-06,1.3957903903794033e-06
13.450632911392402,0.411451223765271,4.6042509258492625e-05,5.201419779776728e-06,1.5507646165535682e-06
13.702531645569618,0.43146769942489616,5.2353775049418516e-05,5.834556658756984e-06,1.7211747849188441e-06
13.954430379746832,0.45161604856443704,5.9436290394287994e-05,6.538083996143751e-06,1.9084920235279412e-06
14.206329113924046,0.47184874313225234,6.736792424599791e-05,7.319510795356088e-06,2.113918840251916e-06
14.458227848101263,0.49211756434942644,7.623480555346562e-05,8.186045846680923e-06,2.3394386595154693e-06
14.710126582278479,0.5123735776881735,8.613007327407107e-05,9.146075558685851e-06,2.5864920449869544e-06
14.962025316455692,0.5325676869305768,9.715430090767585e-05,1.0208389794486017e-05,2.857438587355876e-06
15.213924050632906,0.5526506700356555,0.00010941426224980733,1.1382522167702191e-05,3.1536352981809124e-06
15.465822784810124,0.5725733647434046,0.00012302603087605002,1.2679311536256677e-05,3.477507120097645e-06
15.717721518987341,0.5922870981123718,0.00013811424530862926,1.4108853970462576e-05,3.8312993403955e-06
15.969620253164557,0.6117438493787842,0.0001548086513379343,1.5683796641519088e-05,4.217519782523382e-06
16.22151898734177,0.6308968706176418,0.00017325304030257893,1.7416533037162285e-05,4.638471635287633e-06
16.473417721518985,0.6497001578895877,0.00019359735350887863,1.9321336531041844e-05,5.097600531078772e-06
16.725316455696202,0.6681090454174176,0.00021600435278790187,2.1412090987216192e-05,5.5973443907619824e-06
16.977215189873416,0.6860807718989115,0.00024064361070647022,2.370459643785683e-05,6.140673677601516e-06
17.22911392405063,0.7035741000320439,0.0002676954072144966,2.6215914616378733e-05,6.732064102121793e-06
17.481012658227844,0.7205500242448155,0.0002973569511843799,2.8963799788062072e-05,7.374022783779299e-06
17.73291139240506,0.7369716320344388,0.0003298263713484295,3.196631975854736e-05,8.070627721734613e-06
17.98481012658228,0.752804603028451,0.00036532905879005373,3.524480405919794e-05,8.826091533187252e-06
18.236708860759492,0.7680166277608503,0.00040408632763511143,3.882004229760483e-05,9.64449368529019e-06
