t,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
20.0,0.06075907611503828,0.00010596175127097762,2.031925151091407e-05,6.069404757891306e-06
60.0,0.08219009487751094,0.00015069562778435852,2.8156398215739564e-05,8.469181317471985e-06
100.0,0.12374718388072037,0.00024019138563702302,4.384213167030193e-05,1.3273521870971194e-05
140.0,0.18293235832761545,0.00037438591411320665,6.735379139422015e-05,2.0470967567409737e-05
180.0,0.25628154650569934,0.000553292635967928,9.870605048534209e-05,3.0069991246217675e-05
220.0,0.3396549229113569,0.0007767305660847379,0.0001378264867568646,4.2033100501659426e-05
260.0,0.42860282006834904,0.0010450243080079025,0.00018486560734987112,5.6438961953397815e-05
300.0,0.518718547434603,0.0013579285045905998,0.00023975226692674045,7.324815931875062e-05
340.0,0.6059820015899686,0.001715304756705005,0.0003024049680948604,9.242259070207925e-05
380.0,0.6870563226885642,0.0021172399511419915,0.0003728766415193041,0.00011398982556631854
420.0,0.7594767135498044,0.002563755992448513,0.00045122606671443855,0.00013797567383133647
