t,X2_infid_CD,X2_infid_DD
20.625,0.04343885381093393,0.018373820315146894
60.625,0.06568696378363847,0.01876465497558033
100.625,0.10855528058214303,0.01954646139705174
140.625,0.16941487646581777,0.020718445140441855
180.625,0.24462605182140174,0.02227778199356789
220.625,0.32988133016860044,0.024226934150147872
260.625,0.42051644971768665,0.02655314371586004
300.625,0.5119721356285871,0.029266248428183705
340.625,0.6001085555942227,0.03235550051215785
380.625,0.6815329189726247,0.03581670833453365
420.625,0.7537604561053746,0.039655932555689
