J,X1_infid_CD,X1_infid_N_4,X1_infid_N_6,X1_infid_N_8
1.000000000000000056e-01,1.037935646552856639e-05,1.449623110438835738e-08,2.777445495816266430e-09,8.294348541326712621e-10
3.518987341772151778e-01,1.285258614064366256e-04,1.795519761760289157e-07,3.439971330010394013e-08,1.027224283411953820e-08
6.037974683544302668e-01,3.783787342118705155e-04,5.289152344989389576e-07,1.013319504972187701e-07,3.025943873247172178e-08
8.556962025316453557e-01,7.599191265338367529e-04,1.063219535524240200e-06,2.036938584470959768e-07,6.082700176879285436e-08
1.107594936708860667e+00,1.273117656145794641e-03,1.783431808677349295e-06,3.416684695167759855e-07,1.020304456478271504e-07
1.359493670886075867e+00,1.917934638128393487e-03,2.690855926301694012e-06,5.155020896818740539e-07,1.539435607877948087e-07
1.611392405063290845e+00,2.694319776875508943e-03,3.787127401344569932e-06,7.255041831744080127e-07,2.166604691211659883e-07
1.863291139240506267e+00,3.602211553742962202e-03,5.074216811395970694e-06,9.720475533381289779e-07,2.902936149240531449e-07
2.115189873417721245e+00,4.641537212249802202e-03,6.554428816252233503e-06,1.255565893365506724e-06,3.749751684711810640e-07
2.367088607594936001e+00,5.812211910806275306e-03,8.230403337750047399e-06,1.576563143812492740e-06,4.708531724517683870e-07
2.618987341772151645e+00,7.114138166418704223e-03,1.010511199761587875e-05,1.935599457825176728e-06,5.781005742999667518e-07
2.870886075949366401e+00,8.547205490605058742e-03,1.218186336582327556e-05,2.333302323243025000e-06,6.969054269223562414e-07
3.122784810126581601e+00,1.011128948736905730e-02,1.446429936358128998e-05,2.770359955328594026e-06,8.274750442627265556e-07
3.374683544303796801e+00,1.180625113602129517e-02,1.695639665943993180e-05,3.247526360938834955e-06,9.700391124800589182e-07
3.626582278481012445e+00,1.363193596776746119e-02,1.966247115492425479e-05,3.765618707185502956e-06,1.124843004185471784e-06
3.878481012658227645e+00,1.558817314611071758e-02,2.258715885761208853e-05,4.325517563463776582e-06,1.292153139376139848e-06
4.130379746835441956e+00,1.767477464154687539e-02,2.573544470330091372e-05,4.928166426387825538e-06,1.472254672507666839e-06
4.382278481012656712e+00,1.989153405165811073e-02,2.911264363514298736e-05,5.574574367672724406e-06,1.665452368349029655e-06
4.634177215189872356e+00,2.223822558887533773e-02,3.272440544743737689e-05,6.265813424222166361e-06,1.872070584219009959e-06
4.886075949367087112e+00,2.471460299603445154e-02,3.657671478085600114e-05,7.003019450002589963e-06,2.092452153990009833e-06
5.137974683544302756e+00,2.732039851376710793e-02,4.067589118150749528e-05,7.787393130009867548e-06,2.326960559573265641e-06
5.389873417721517512e+00,3.005532129657983997e-02,4.502858924093633419e-05,8.620198712727678014e-06,2.575977489316372271e-06
5.641772151898734045e+00,3.291905641682224548e-02,4.964179870015072993e-05,9.502765461300022309e-06,2.839906102836131652e-06
5.893670886075947912e+00,3.591126353931373139e-02,5.452284441465060638e-05,1.043648657339524277e-05,3.119165934650780514e-06
6.145569620253162668e+00,3.903157563515136097e-02,5.967937553030822073e-05,1.142281964339186828e-05,3.414200897333685703e-06
6.397468354430378312e+00,4.227959707631467889e-02,6.511940803055615845e-05,1.246328877879676611e-05,3.725469424509242344e-06
6.649367088607592180e+00,4.565490308227870830e-02,7.085126551142906237e-05,1.355948039216681167e-05,4.053453813157581465e-06
6.901265822784809600e+00,4.915703734960319427e-02,7.688361114543962316e-05,1.471304738132062084e-05,4.398653583259637401e-06
7.153164556962023468e+00,5.278551115790575121e-02,8.322544895433825474e-05,1.592570754349598161e-05,4.761589644575181524e-06
7.405063291139240000e+00,5.653980169473948880e-02,8.988611653015787795e-05,1.719924379506299061e-05,5.142801593249757275e-06
7.656962025316453868e+00,6.041935037491197313e-02,9.687528738189232769e-05,1.853550479835597287e-05,5.542849096484836480e-06
7.908860759493668624e+00,6.442356144741356871e-02,1.042029711580960694e-04,1.993640468911372921e-05,5.962313461393975444e-06
8.160759493670884268e+00,6.855180023805984568e-02,1.118795135489625281e-04,2.140392296889892521e-05,6.401795849653169057e-06
8.412658227848099912e+00,7.280339164518567774e-02,1.199155961361109135e-04,2.294010578862692995e-05,6.861913917743933666e-06
8.664556962025313780e+00,7.717761900924391405e-02,1.283222367458591862e-04,2.454706459753541736e-05,7.343310734375663174e-06
8.916455696202529424e+00,8.167372118388926960e-02,1.371107892067513490e-04,2.622697808440932477e-05,7.846647055442801388e-06
9.168354430379745068e+00,8.629089244529131175e-02,1.462929434172810517e-04,2.798209095189463369e-05,8.372603210182738565e-06
9.420253164556960712e+00,9.102827996761819751e-02,1.558807278122520401e-04,2.981471772456334435e-05,8.921881099466233422e-06
9.672151898734174580e+00,9.588498239499099185e-02,1.658865037388324026e-04,3.172722974720265654e-05,9.495206185095028673e-06
9.924050632911390224e+00,1.008600485793339496e-01,1.763229699388579874e-04,3.372209850138752074e-05,1.009331724299844524e-05
1.017594936708860587e+01,1.059524755679479568e-01,1.872031650254069035e-04,3.580179140505457269e-05,1.071698148469302225e-05
1.042784810126581974e+01,1.111612070464955693e-01,1.985404602347085046e-04,3.796891067031626932e-05,1.136698289594395561e-05
1.067974683544303538e+01,1.164851323674163108e-01,2.103485627845680384e-04,4.022610391918313155e-05,1.204412536015553314e-05
1.093164556962025102e+01,1.219230844479752829e-01,2.226415224451105956e-04,4.257608686386582519e-05,1.274923812055739347e-05
1.118354430379746667e+01,1.274738383456928137e-01,2.354337202892242686e-04,4.502164296482646932e-05,1.348316585081388297e-05
1.143544303797468231e+01,1.331361102946084785e-01,2.487398724984046794e-04,4.756562451291301841e-05,1.424677959271924976e-05
1.168734177215189618e+01,1.389085556963312040e-01,2.625750400822024488e-04,5.021095191248825529e-05,1.504096809468169482e-05
1.193924050632911182e+01,1.447897683144467873e-01,2.769546104914866191e-04,5.296061461879109089e-05,1.586664274599858260e-05
1.219113924050632569e+01,1.507782783618611955e-01,2.918943150456154711e-04,5.581767105622414959e-05,1.672473676772590068e-05
1.244303797468354134e+01,1.568725522882583601e-01,3.074102177607063169e-04,5.878524903857318407e-05,1.761620526996576785e-05
1.269493670886075698e+01,1.630709899681856978e-01,3.235187238391779019e-04,6.186654575446315363e-05,1.854202516793357347e-05
1.294683544303797440e+01,1.693719251032954620e-01,3.402365696988374211e-04,6.506482850476835722e-05,1.950319179366832856e-05
1.319873417721518827e+01,1.757736234763236371e-01,3.575808301050642513e-04,6.838343446546879534e-05,2.050072658654755742e-05
1.345063291139240214e+01,1.822742816217427508e-01,3.755689167039832910e-04,7.182577071118689815e-05,2.153567098905906363e-05
1.370253164556961778e+01,1.888720276445990942e-01,3.942185767893402470e-04,7.539531574674018799e-05,2.260908910578507403e-05
1.395443037974683165e+01,1.955649172513350686e-01,4.135478939293335543e-04,7.909561789976038426e-05,2.372206828427092518e-05
1.420632911392404552e+01,2.023509356870609732e-01,4.335752873568798904e-04,8.293029766370807465e-05,2.487571824683065813e-05
1.445822784810126294e+01,2.092279964988839058e-01,4.543195125048526961e-04,8.690304571001838951e-05,2.607116215658233926e-05
1.471012658227847858e+01,2.161939402632578888e-01,4.757996599394909154e-04,9.101762613350494746e-05,2.730955318630545747e-05
1.496202531645569245e+01,2.232465343082898901e-01,4.980351562429152779e-04,9.527787297114453935e-05,2.859207862848656134e-05
1.521392405063290632e+01,2.303834728267813992e-01,5.210457613487040618e-04,9.968769360901852394e-05,2.991993572964979364e-05
1.546582278481012374e+01,2.376023761426865333e-01,5.448515730052116979e-04,1.042510677204955272e-04,3.129433089699151793e-05
1.571772151898734116e+01,2.449007907515023952e-01,5.694730206494691416e-04,1.089720480024203297e-04,3.271652763991994561e-05
1.596962025316455680e+01,2.522761890993143741e-01,5.949308686965526505e-04,1.138547602724804264e-04,3.418778676778089221e-05
1.622151898734177067e+01,2.597259695398107526e-01,6.212462173487143247e-04,1.189034027978541630e-04,3.570939836838871173e-05
1.647341772151898454e+01,2.672474571630372164e-01,6.484405025524164756e-04,1.241222492570637215e-04,3.728268067093587490e-05
1.672531645569620196e+01,2.748379032452137327e-01,6.765354891561381478e-04,1.295156451999179836e-04,3.890896880387462176e-05
1.697721518987341582e+01,2.824944857805318232e-01,7.055532707503919809e-04,1.350880131327780731e-04,4.058962967135038014e-05
1.722911392405062969e+01,2.902143103296063176e-01,7.355162843225571123e-04,1.408438474111983751e-04,4.232605120613186500e-05
1.748101265822784356e+01,2.979944106148644245e-01,7.664472937802813135e-04,1.467877190227673267e-04,4.411963302608512549e-05
1.773291139240506098e+01,3.058317492170097296e-01,7.983693925392998381e-04,1.529242739346514668e-04,4.597181549959028501e-05
1.798481012658227840e+01,3.137232183816661690e-01,8.313060064125687987e-04,1.592582333014291862e-04,4.788405613909141323e-05
1.823670886075949227e+01,3.216656414106814355e-01,8.652808955990076711e-04,1.657943945861939383e-04,4.985784025424155885e-05
1.848860759493670614e+01,3.296557732217320069e-01,9.003181443443253329e-04,1.725376307259995912e-04,5.189467792976465432e-05
1.874050632911392356e+01,3.376903022441785085e-01,9.364421717453774718e-04,1.794928928736672091e-04,5.399609501743896089e-05
1.899240506329113742e+01,3.457658515963381030e-01,9.736777181574840512e-04,1.866652066372376240e-04,5.616365185212579547e-05
1.924430379746835129e+01,3.538789806502797841e-01,1.012049860370067833e-03,1.940596764808955044e-04,5.839893089787384639e-05
1.949620253164556871e+01,3.620261868281589024e-01,1.051583999916116952e-03,2.016814844336689561e-04,6.070354227782903678e-05
1.974810126582278258e+01,3.702039073932964497e-01,1.092305857050446249e-03,2.095358890507048599e-04,6.307911316871805951e-05
2.000000000000000000e+01,3.784085214667546326e-01,1.134241496318799669e-03,2.176282276316054975e-04,6.552730537146000955e-05
