t,X2_infid_CD,X2_infid_DD
2.062500000000000000e+01,1.736929042199586437e-02,7.403509431983978928e-03
6.062500000000000000e+01,2.517710303660014581e-02,7.463931463465911520e-03
1.006250000000000000e+02,4.052382972241552750e-02,7.584843311368216767e-03
1.406250000000000000e+02,6.308708996353828979e-02,7.766252044374533092e-03
1.806250000000000000e+02,9.239412891582132747e-02,8.008072668360788349e-03
2.206250000000000000e+02,1.278331930858719323e-01,8.310311624178723378e-03
2.606250000000000000e+02,1.686681816103362541e-01,8.672900812802142312e-03
3.006250000000000000e+02,2.140562516335300369e-01,9.095761490174103514e-03
3.406250000000000000e+02,2.630678757557546321e-01,9.578808357260770734e-03
3.806250000000000000e+02,3.147089945887160400e-01,1.012202687830965342e-02
4.206250000000000000e+02,3.679442450724723646e-01,1.072523845544748333e-02
