t,X2_infid_CD,X2_infid_DD
20.625,0.010915523333520194,0.004637991621112114
60.625,0.015860580513173628,0.004676240343134519
100.625,0.025656185326594638,0.004752701621850597
140.625,0.0402367604984154,0.004866673148325673
180.625,0.059511390835454314,0.005018091397938962
220.625,0.08336477322916758,0.005209537031388156
260.625,0.11163881617125782,0.00543746308495896
300.625,0.14416526354547854,0.00570163468431828
340.625,0.18073507801972954,0.006009861417054285
380.625,0.2211251443473028,0.006348567626750512
420.625,0.2650849479218469,0.006724534329531573
