gamma,2nd_idle_error_N_4,2nd_idle_error_N_6,2nd_idle_error_N_8
0.015915494309189534,0.03141168249602227,0.031414107709058066,0.031414914684512914
0.03183098861837907,0.03139895318089054,0.03140865150121182,0.03141188465827008
0.04774648292756861,0.031377745823916545,0.03139955953904135,0.03140683288686533
0.06366197723675814,0.031348072661239915,0.03138683382983745,0.03139976188525396
0.07957747154594767,0.03130995112606864,0.031370477871768256,0.03139067139646003
0.09549296585513722,0.03126340253573092,0.03135049564131156,0.031379563837782246
0.11140846016432675,0.0312084550451543,0.03132689256401473,0.03136644063119105
0.12732395447351627,0.031145139518932143,0.031299674117491225,0.03135130343654102
0.1432394487827058,0.031073492799422606,0.031268847741360024,0.03133415458300175
0.15915494309189535,0.030993556226233485,0.03123442128300717,0.03131499637233585
0.17507043740108488,0.030905375970541642,0.03119640412667492,0.03129383149477371
0.19098593171027445,0.030809003277107786,0.031154803456862057,0.031270662999407534
0.20690142601946396,0.030704493667714817,0.03110963239844393,0.031245496578544408
0.2228169203286535,0.030591906877579397,0.031060901666186726,0.031218330559519534
0.238732414637843,0.03047130851256799,0.031008623775281508,0.03118917144646
0.25464790894703254,0.03034276785242707,0.03095281136877341,0.03115802485519323
0.27056340325622213,0.030206359069140987,0.030893479908344037,0.03112489416286768
0.2864788975654116,0.030062160231511648,0.030830643508708917,0.031089784160599442
0.30239439187460115,0.029910254608565907,0.030764318352967352,0.03105269983939311
0.3183098861837907,0.02975072805046941,0.03069452114296367,0.03101364637316351
0.33422538049298023,0.029583676306538,0.030621270147337194,0.030972629270671508
0.35014087480216977,0.02940919090106281,0.030544583746472585,0.03092965439933116
0.3660563691113593,0.02922737333436927,0.030464481458634295,0.030884728429648553
0.3819718634205489,0.029038328024058754,0.030380983005524727,0.030837857132837012
0.3978873577297384,0.0288421625610004,0.030294110089662863,0.030789047477247745
0.4138028520389279,0.0286389891172363,0.030203884840008556,0.030738306196384905
0.42971834634811745,0.02842892293098983,0.030110329797539095,0.03068564078738129
0.445633840657307,0.02821208599933445,0.030013468932723948,0.030631058504141526
0.4615493349664965,0.027988597103617348,0.02991332672573703,0.030574567185538342
0.477464829275686,0.02775859106815136,0.029809928425834187,0.03051617518786812
0.4933803235848756,0.027522191668662925,0.029703300161883505,0.030455890366917843
0.5092958178940651,0.027279534547287262,0.029593468612373344,0.030393721575384138
0.5252113122032547,0.027030757799224224,0.029480462477644704,0.030329677686812336
0.5411268065124443,0.026776001634337365,0.029364309327202028,0.030263767540176997
0.5570423008216338,0.026515409928822883,0.029245038804485934,0.030196000457530445
0.5729577951308232,0.026249129461709392,0.029122679450460865,0.030126387166612655
