gamma,1st_error_N_4,1st_error_N_6,1st_error_N_8
0.0,0.133333333333333,0.133333333333333,0.133333333333333
0.0015915494309189536,0.13333316045241,0.133333250989781,0.133333286386278
0.003183098861837907,0.133332641810395,0.133333003959282,0.133333145545163
0.00477464829275686,0.133331777409547,0.133332592242304,0.133332910810138
0.006366197723675814,0.133330567253636,0.13333201583963,0.133332582181454
0.007957747154594767,0.133329011347936,0.133331274752356,0.133332159659461
0.00954929658551372,0.133327109699229,0.13333036898189,0.13333164324461
0.011140846016432676,0.133324862315805,0.133329298529953,0.133331032937452
0.012732395447351628,0.13332226920746,0.133328063398579,0.133330328738639
0.01432394487827058,0.133319330385496,0.133326663590117,0.133329530648921
0.015915494309189534,0.133316045862726,0.133325099107226,0.13332863866915
0.01750704374010849,0.133312415653465,0.133323369952879,0.133327652800279
0.01909859317102744,0.133308439773538,0.133321476130362,0.133326573043358
0.020690142601946394,0.133304118240276,0.133319417643274,0.13332539939954
0.02228169203286535,0.133299451072517,0.133317194495528,0.133324131870077
0.0238732414637843,0.133294438290604,0.133314806691348,0.133322770456322
0.025464790894703257,0.13328907991639,0.133312254235271,0.133321315159726
0.02705634032562221,0.133283375973232,0.13330953713215,0.133319765981844
0.02864788975654116,0.133277326485994,0.133306655387146,0.133318122924328
0.030239439187460117,0.133270931481046,0.133303609005737,0.13331638598893
0.03183098861837907,0.133264190986265,0.133300397993712,0.133314555177505
0.03342253804929802,0.133257105031034,0.133297022357173,0.133312630492005
0.03501408748021698,0.133249673646242,0.133293482102535,0.133310611934484
0.03660563691113593,0.133241896864284,0.133289777236527,0.133308499507097
0.03819718634205488,0.13323377471906,0.133285907766188,0.133306293212096
0.039788735772973836,0.133225307245978,0.133281873698872,0.133303993051835
0.04138028520389279,0.133216494481948,0.133277675042245,0.13330159902877
0.042971834634811745,0.13320733646539,0.133273311804287,0.133299111145454
0.0445633840657307,0.133197833236224,0.13326878399329,0.133296529404542
0.04615493349664965,0.13318798483588,0.133264091617857,0.133293853808789
0.0477464829275686,0.133177791307289,0.133259234686907,0.133291084361049
0.049338032358487556,0.133167252694891,0.133254213209668,0.133288221064276
0.050929581789406514,0.133156369044628,0.133249027195685,0.133285263921527
0.052521131220325465,0.133145140403946,0.133243676654812,0.133282212935956
0.05411268065124442,0.133133566821797,0.133238161597217,0.133279068110819
0.055704230082163374,0.133121648348637,0.133232482033381,0.13327582944947
0.05729577951308232,0.133109385036424,0.133226637974097,0.133272496955366
0.058887328944001276,0.133096776938623,0.13322062943047,0.133269070632062
0.060478878374920234,0.133083824110201,0.133214456413921,0.133265550483213
0.062070427805839185,0.133070526607627,0.133208118936178,0.133261936512576
0.06366197723675814,0.133056884488875,0.133201617009287,0.133258228724006
0.0652535266676771,0.133042897813423,0.133194950645602,0.13325442712146
0.06684507609859604,0.133028566642248,0.133188119857792,0.133250531708994
0.068436625529515,0.133013891037834,0.133181124658838,0.133246542490763
0.07002817496043395,0.132998871064164,0.133173965062033,0.133242459471024
0.0716197243913529,0.132983506786724,0.133166641080984,0.133238282654134
0.07321127382227186,0.132967798272503,0.133159152729607,0.133234012044549
0.07480282325319082,0.132951745589991,0.133151500022134,0.133229647646824
0.07639437268410976,0.132935348809179,0.133143682973107,0.133225189465618
0.07798592211502872,0.132918608001558,0.133135701597381,0.133220637505685
0.07957747154594767,0.132901523240122,0.133127555910123,0.133215991771884
0.08116902097686662,0.132884094599365,0.133119245926813,0.13321125226917
0.08276057040778557,0.132866322155281,0.133110771663243,0.133206419002601
0.08435211983870454,0.132848205985364,0.133102133135515,0.133201491977333
0.08594366926962349,0.132829746168607,0.133093330360047,0.133196471198623
0.08753521870054244,0.132810942785504,0.133084363353566,0.133191356671827
0.0891267681314614,0.132791795918048,0.133075232133111,0.133186148402403
0.09071831756238036,0.132772305649728,0.133065936716036,0.133180846395908
0.0923098669932993,0.132752472065537,0.133056477120004,0.133175450657997
0.09390141642421825,0.132732295251961,0.133046853362992,0.133169961194428
0.0954929658551372,0.132711775296988,0.133037065463287,0.133164378011058
0.09708451528605616,0.1326909122901,0.133027113439489,0.133158701113843
0.09867606471697511,0.132669706322278,0.133016997310509,0.13315293050884
0.10026761414789406,0.132648157486002,0.133006717095572,0.133147066202206
0.10185916357881303,0.132626265875246,0.132996272814212,0.133141108200198
0.10345071300973198,0.13260403158548,0.132985664486276,0.133135056509172
0.10504226244065093,0.132581454713672,0.132974892131924,0.133128911135584
0.10663381187156988,0.132558535358285,0.132963955771625,0.133122672085992
0.10822536130248885,0.132535273619277,0.132952855426161,0.133116339367051
0.1098169107334078,0.132511669598099,0.132941591116625,0.133109912985518
0.11140846016432675,0.1324877233977,0.132930162864424,0.133103392948249
0.11300000959524568,0.132463435122522,0.132918570691272,0.1330967792622
0.11459155902616464,0.132438804878499,0.132906814619199,0.133090071934428
0.1161831084570836,0.132413832773061,0.132894894670543,0.133083270972088
0.11777465788800255,0.132388518915129,0.132882810867955,0.133076376382436
0.1193662073189215,0.132362863415117,0.132870563234397,0.133069388172828
0.12095775674984047,0.132336866384932,0.132858151793142,0.133062306350719
0.12254930618075942,0.132310527937973,0.132845576567775,0.133055130923664
0.12414085561167837,0.132283848189129,0.132832837582191,0.13304786189932
0.12573240504259733,0.132256827254782,0.132819934860597,0.133040499285441
0.12732395447351627,0.132229465252803,0.13280686842751,0.133033043089881
0.12891550390443524,0.132201762302553,0.13279363830776,0.133025493320596
0.1305070533353542,0.132173718524884,0.132780244526486,0.133017849985641
0.13209860276627314,0.132145334042136,0.132766687109139,0.133010113093169
0.13369015219719207,0.13211660897814,0.13275296608148,0.133002282651434
0.13528170162811104,0.132087543458212,0.132739081469582,0.132994358668791
0.13687325105903,0.13205813760916,0.132725033299827,0.132986341153694
0.13846480048994894,0.132028391559276,0.13271082159891,0.132978230114695
0.1400563499208679,0.13199830543834,0.132696446393835,0.132970025560448
0.14164789935178684,0.131967879377621,0.132681907711917,0.132961727499705
0.1432394487827058,0.13193711350987,0.132667205580782,0.13295333594132
0.14483099821362477,0.131906007969328,0.132652340028365,0.132944850894245
