J,X1X2_infid_CD,X1X2_infid_N_4,X1X2_infid_N_6,X1X2_infid_N_8
0.1,1.2837558588829623e-05,6.253184747784246e-09,9.309555348835374e-10,3.602453890749757e-10
0.3518987341772152,0.00015895892640893639,7.75562520871631e-08,1.1668296440170423e-08,4.3609497124563745e-09
0.6037974683544303,0.00046790594704648747,2.2861938764329182e-07,3.4366244294758985e-08,1.2842620633612967e-08
0.8556962025316454,0.0009394482278316518,4.592689567539665e-07,6.895083537461488e-08,2.57946247694818e-08
1.1075949367088607,0.0015733340989106948,7.707327946970821e-07,1.156761988418964e-07,4.318937618652541e-08
1.3594936708860759,0.002369058433529081,1.1615474647674873e-06,1.7442591682126363e-07,6.514031969384604e-08
1.6113924050632908,0.0033261687034975562,1.6338763095813391e-06,2.453293160842307e-07,9.170452952567132e-08
1.8632911392405063,0.004444071083262946,2.1880218592507106e-06,3.284681617810037e-07,1.2273500615833655e-07
2.1151898734177212,0.005722020882384604,2.8228589994405695e-06,4.240517345044381e-07,1.5852486234813057e-07
2.367088607594936,0.007159223985913843,3.541697004227906e-06,5.314909854448047e-07,1.9856137634111093e-07
2.6189873417721516,0.00875470009175805,4.342257206690903e-06,6.527405104206352e-07,2.4346174298806034e-07
2.8708860759493664,0.010507406583765144,5.230217588914066e-06,7.859676431909435e-07,2.9287159364344006e-07
3.1227848101265816,0.012416229560800018,6.200211792650734e-06,9.319163283283416e-07,3.473045889768045e-07
3.374683544303797,0.014479980170395645,7.260140616804911e-06,1.0924368992748512e-06,4.066053523876789e-07
3.6265822784810124,0.016697247533811188,8.405831857016821e-06,1.2654381488230726e-06,4.705431374540936e-07
3.8784810126582276,0.019066684565376746,9.642311470825504e-06,1.4507600707425183e-06,5.392336505094519e-07
4.130379746835442,0.021586689092462863,1.096903795949622e-05,1.650388631979638e-06,6.131445055013174e-07
4.382278481012657,0.024255679633660043,1.2383488762757189e-05,1.865040393789208e-06,6.920937589693921e-07
4.634177215189872,0.027071900190487552,1.389336492452209e-05,2.0938863665165286e-06,7.763131325555506e-07
4.886075949367087,0.03003353996130287,1.5501213393553925e-05,2.3367352328662605e-06,8.661067303350478e-07
5.137974683544303,0.03313867386661418,1.7206509348111076e-05,2.5952916793414715e-06,9.598290314771774e-07
5.3898734177215175,0.036385283712696004,1.900718840019966e-05,2.866868270334777e-06,1.0594129438157296e-06
5.641772151898734,0.0397713189789034,2.0910359716630467e-05,3.153692009427722e-06,1.1645626770695472e-06
5.893670886075948,0.043294607117680406,2.2914308296262398e-05,3.459561663921029e-06,1.2750447022646938e-06
6.145569620253163,0.046952829774636995,2.502436865858826e-05,3.77996646150347e-06,1.3915108217910088e-06
6.397468354430378,0.050743593720036784,2.7244370558898723e-05,4.116578774415736e-06,1.513507983830209e-06
6.649367088607592,0.05466435958634375,2.9565558090638433e-05,4.47103101264279e-06,1.6428253181155483e-06
6.90126582278481,0.05871282267546962,3.200926726421027e-05,4.841717819337177e-06,1.7758070124385128e-06
7.1531645569620235,0.06288628237374749,3.456443501237416e-05,5.228864746298356e-06,1.9163489815010593e-06
7.40506329113924,0.06718199716670348,3.7233474031284075e-05,5.639583137484472e-06,2.0628909442876875e-06
7.656962025316454,0.0715971925479868,4.0020178302513365e-05,6.065561453660884e-06,2.2137757168527727e-06
7.908860759493669,0.07612910213583168,4.293487624840164e-05,6.5124377597314265e-06,2.3737882081098505e-06
8.160759493670884,0.0807747371887717,4.5977143753317407e-05,6.9753468755484604e-06,2.5407305682678683e-06
8.4126582278481,0.08553113671821111,4.914406022316076e-05,7.462501306121361e-06,2.711257399368172e-06
8.664556962025314,0.09039521854969279,5.2447179474834904e-05,7.968082391451858e-06,2.8918759723550735e-06
8.91645569620253,0.09536392207467104,5.587596780609605e-05,8.492868355580718e-06,3.0772310429805216e-06
9.168354430379745,0.10043399894780136,5.945859853051516e-05,9.045006206021e-06,3.2705159636048364e-06
9.42025316455696,0.1056022703670878,6.317300443681173e-05,9.615838222454265e-06,3.4703974828298456e-06
9.672151898734175,0.11086531608759498,6.70331247746292e-05,1.0215062192786561e-05,3.6808676587840594e-06
9.92405063291139,0.11621991849248747,7.104779445454845e-05,1.0833419366251817e-05,3.895192599689956e-06
10.175949367088606,0.12166247312133605,7.521011802713584e-05,1.1475788972981071e-05,4.120472290702892e-06
10.42784810126582,0.12718951621758967,7.953728894460887e-05,1.214578652442011e-05,4.353364395526249e-06
10.679746835443035,0.13279801140170766,8.402060198653416e-05,1.2839744622072935e-05,4.593212348802389e-06
10.931645569620251,0.13848385711687183,8.868142348172903e-05,1.356278816655454e-05,4.841795301691043e-06
11.183544303797467,0.1442437260717815,9.350820322018283e-05,1.4310411356688313e-05,5.099098386529555e-06
11.435443037974682,0.15007382675302383,9.850294800028969e-05,1.50877057744081e-05,5.365768668830206e-06
11.687341772151896,0.15597074986900428,0.00010367702220404063,1.5894902530289023e-05,5.641113808962928e-06
11.939240506329112,0.1619306206933654,0.00010903667270600881,1.6730959562449854e-05,5.9252350513849805e-06
12.191139240506326,0.16794950818672616,0.00011459536998537079,1.7597528387924832e-05,6.2212332134770065e-06
12.443037974683541,0.17402457725763476,0.0001203350214904475,1.849637749529176e-05,6.525626418230068e-06
12.694936708860757,0.18015115697445616,0.00012628114186141737,1.942422275236222e-05,6.840276991937344e-06
12.946835443037974,0.1863259987187632,0.00013243114683170187,2.0387372066110743e-05,7.164808062842809e-06
13.198734177215188,0.19254487330895398,0.000138790213167983,2.13876800164714e-05,7.503600435887492e-06
13.450632911392402,0.19880434269011082,0.0001453602417073041,2.242183601008918e-05,7.846660553978424e-06
13.702531645569618,0.20510038409135223,0.00015216215675462053,2.3488877302524358e-05,8.206838855162601e-06
13.954430379746832,0.2114294705307188,0.0001591890122661921,2.459462955173297e-05,8.573732834138426e-06
14.206329113924046,0.21778795356014025,0.00016644690191813805,2.5739254292944658e-05,8.955128408927315e-06
14.458227848101263,0.22417198347049117,0.0001739387537132986,2.6927902047058083e-05,9.347932468206643e-06
14.710126582278479,0.23057758147417362,0.0001816903668976355,2.8152638270273478e-05,9.75366459665672e-06
14.962025316455692,0.23700105370256075,0.00018967828996463432,2.9416511011182145e-05,1.0172017704035419e-05
15.213924050632906,0.2434391647181704,0.00019791839409188938,3.0725437443202e-05,1.0604374409695083e-05
15.465822784810124,0.24988777595939127,0.00020643937825481906,3.20748902400414e-05,1.1044606814891722e-05
15.717721518987341,0.2563433083772102,0.00021522578311317098,3.3475501944546515e-05,1.1504838979048415e-05
15.969620253164557,0.2628022681584059,0.00022430337117385069,3.491918657028137e-05,1.1975829424137885e-05
16.22151898734177,0.26926142682235765,0.0002336499578288187,3.6409043521645756e-05,1.2461561880394711e-05
16.473417721518985,0.27571679697848883,0.00024330340690070784,3.7952754722292426e-05,1.296128683381248e-05
16.725316455696202,0.2821651464130397,0.00025324406259685794,3.9543600536484647e-05,1.3478537526534495e-05
16.977215189873416,0.2886029210804024,0.0002635168637976637,4.1188330781483096e-05,1.4007025073925483e-05
17.22911392405063,0.29502682589131535,0.00027408475792911613,4.2881803578143085e-05,1.4558855257695846e-05
17.481012658227844,0.30143378170885426,0.00028497531880145033,4.463325157588738e-05,1.5116919345858904e-05
17.73291139240506,0.30782045204746544,0.0002961964376755333,4.643881347321521e-05,1.5700654395267577e-05
17.98481012658228,0.31418359303764753,0.00030777122711767024,4.830041532177809e-05,1.6295633096019557e-05
18.236708860759492,0.320520228632067,0.00031969850134250244,5.022190047887509e-05,1.6911145385489768e-05
18.488607594936706,0.32682739544507444,0.0003319656985182329,5.220234805691781e-05,1.7547742381274212e-05
18.740506329113924,0.3331020844541155,0.000344615885700561,5.4249512584481074e-05,1.819470141672941e-05
18.992405063291137,0.3393415870466767,0.0003576325106093847,5.6352265649040056e-05,1.8864109990635036e-05
19.24430379746835,0.3455429797373989,0.000371048503751803,5.853055147575503e-05,1.955836178491044e-05
19.49620253164557,0.35170375052754477,0.0003848496181512173,6.077217968325499e-05,2.0266422182002586e-05
19.748101265822783,0.3578213782146107,0.0003990696896214452,6.30825438526772e-05,2.099376915110085e-05
20.0,0.3638930823358728,0.0004136884756837933,6.546454555089731e-05,2.1743391367512466e-05
