t,X1_infid_CD,X1_infid_DD
20.625,0.010915523333520194,0.004637979762595168
60.625,0.015860630664516484,0.004675308690611946
100.625,0.02565565561532801,0.004749900489223857
140.625,0.040237014397032866,0.004860111527438482
180.625,0.05951058433239409,0.00500830315225953
220.625,0.08336590289702717,0.005191468457498627
260.625,0.11164149769870124,0.005414423661593282
300.625,0.14416780056811695,0.0056750903935315344
340.625,0.18073998859310425,0.005967886490083951
380.625,0.22113452223470065,0.0063061279200481435
420.625,0.26509179566521246,0.006670911573482874
