t,X1_infid_CD,X1_infid_N_4,X1_infid_N_6,X1_infid_N_8
3.000000000000000000e+01,1.252559758312443705e-02,2.271622417783225600e-04,3.924875089134083339e-05,1.184636211193357269e-05
9.000000000000000000e+01,4.731489368598074119e-02,4.455725020051648499e-04,7.165411565068779964e-05,2.138218630487465077e-05
1.500000000000000000e+02,1.134877397924501929e-01,8.822735864140174300e-04,1.364622157360440013e-04,4.045361972693228836e-05
2.100000000000000000e+02,2.046357861074453721e-01,1.537026597511426118e-03,2.336677847003532094e-04,6.906017244534545796e-05
2.700000000000000000e+02,3.121020511196344049e-01,2.409473366713710263e-03,3.632629472342108201e-04,1.072012269587307998e-04
3.300000000000000000e+02,4.259882688577227849e-01,3.499136673226432848e-03,5.252371178474657398e-04,1.548757804382683290e-04
3.900000000000000000e+02,5.362862813606046331e-01,4.805420329917042821e-03,7.195771839910714007e-04,2.120827208574871392e-04
4.500000000000000000e+02,6.339898906141665513e-01,6.327610120528959214e-03,9.462673492446338486e-04,2.788207286311683575e-04
