gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
3.278591827693044358e+00,3.107375978101790427e-03,1.919386497036821345e-04,5.542175391301589100e-03
3.294507322002234062e+00,3.196938881131677901e-03,2.326914494451274760e-04,5.417600365786641274e-03
3.310422816311423322e+00,3.284793647875059851e-03,2.710647054216745841e-04,5.294227667810030673e-03
3.326338310620613026e+00,3.370859194772221276e-03,3.070740875571352155e-04,5.172067276686513788e-03
3.342253804929802286e+00,3.455056978531755810e-03,3.407359166022851712e-04,5.051128891721564859e-03
3.358169299238991989e+00,3.537311040924077509e-03,3.720671508698145395e-04,4.931421979508682565e-03
3.374084793548181693e+00,3.617548052174993437e-03,4.010853803176681726e-04,4.812955790142433958e-03
3.390000287857370953e+00,3.695697365879913997e-03,4.278088226678719835e-04,4.695735900237175096e-03
3.405915782166560657e+00,3.771691014744960654e-03,4.522562939928235766e-04,4.579781233339860237e-03
3.421831276475749917e+00,3.845463785981734477e-03,4.744472280054311784e-04,4.465090150986068818e-03
3.437746770784939621e+00,3.916953254316661408e-03,4.944016665349638311e-04,4.351674298424043109e-03
3.453662265094129324e+00,3.986099826306927288e-03,5.121401981194956482e-04,4.239541716887106418e-03
3.469577759403318584e+00,4.052846600294322636e-03,5.276840165086097443e-04,4.128700163347332093e-03
3.485493253712508288e+00,4.117139746928322706e-03,5.410548914544024979e-04,4.019157203201332261e-03
3.501408748021697548e+00,4.178928185795750469e-03,5.522751134081632521e-04,3.910920124937157863e-03
3.517324242330887252e+00,4.238163778711799556e-03,5.613675491440893667e-04,3.803995981824639504e-03
3.533239736640076956e+00,4.294801292146144082e-03,5.683555878046635474e-04,3.698391569875508419e-03
3.549155230949266215e+00,4.348798441171613204e-03,5.732631487949900722e-04,3.594113456357646459e-03
3.565070725258455919e+00,4.400115886192762851e-03,5.761146661892536849e-04,3.491167975753054625e-03
3.580986219567645179e+00,4.448717262829205918e-03,5.769350797318179274e-04,3.389561112874286443e-03
3.596901713876834883e+00,4.494569131071695506e-03,5.757498104164063659e-04,3.289298767795499449e-03
3.612817208186024587e+00,4.537641082680907503e-03,5.725847841889917427e-04,3.190386482727871047e-03
3.628732702495213847e+00,4.577905650154573576e-03,5.674663830403348878e-04,3.092829571274225038e-03
3.644648196804403550e+00,4.615338315628323904e-03,5.604214526309600226e-04,2.996633121992406477e-03
3.660563691113592810e+00,4.649917591227806235e-03,5.514772880219982656e-04,2.901801944520541066e-03
3.676479185422782514e+00,4.681624865981698358e-03,5.406616232978961583e-04,2.808340634650761079e-03
3.692394679731972218e+00,4.710444661692390379e-03,5.280026158713858626e-04,2.716253535535760339e-03
3.708310174041161478e+00,4.736364205609006235e-03,5.135288389659511477e-04,2.625544649913981194e-03
3.724225668350351182e+00,4.759373818681836635e-03,4.972692710987129758e-04,2.536217852359955519e-03
